CaseId,Q4_1,Q4_2,Q4_3,Q4_4,PartyID,Ideology,Gender,Age4,Age7,White,Black,Hispanic,Asian,Education5,Income6,SexismOrder,HostileSexism1,HostileSexism2,HostileSexism3,HostileSexism4,BenevolentSexism1,BenevolentSexism2,BenevolentSexism3,BenevolentSexism4,MilAssert1,MilAssert2,MilAssert3,MaleName,FemaleName,StayOut,NotEngage,Engage,FemaleOpp,FemaleUS,DemocratUS,MM_StayOut,MM_NotEngage,MM_Engage,FM_StayOut,FM_NotEngage,FM_Engage,MF_StayOut,MF_NotEngage,MF_Engage,FF_StayOut,FF_NotEngage,FF_Engage,Disapproval,DisapprovalBinary,AttentionCheck1,AttentionCheck2,AttentionCheck3,AttentionCheck,RegimeConfounding,NonWhiteConfounding,BlackConfounding,HispanicConfounding
898,indecisive,not concerned,to late,gone in sooner,2,2,1,4,7,1,0,0,0,3,4,0,6,1,6,6,6,4,6,6,5,5,5,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,1,1,0,1,2,-10,0,0,0
5298,weak,pushover,stupid,lazy,1,2,1,4,5,1,0,0,0,3,3,0,4,2,1,5,4,4,6,6,4,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,1,1,1,3,-2,1,0,0
4975,Weak,Indecisive,Manipulative,Shortsighted,NA,4,0,3,4,0,1,0,0,5,4,0,2,2,2,1,3,3,4,5,2,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,1,1,1,3,-8,0,0,0
5909,Democrats,Unsure,NA,NA,2,3,1,1,1,1,0,0,0,2,3,1,5,5,6,6,3,4,4,5,3,4,4,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,1,2,-6,1,0,0
1398,Dishonest,Untrustworthy,Deceitful,Cowardly,7,5,1,2,2,1,0,0,0,5,5,0,2,1,5,1,3,3,4,4,2,4,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,3,-10,0,0,0
2782,Horrible,Not mindful,Selfishness,Untrustworthy,3,NA,0,1,1,0,0,0,0,1,2,0,3,5,5,4,2,4,5,4,2,3,3,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,-6,1,1,0
5703,Weak,inept,political,wishywashy,1,1,0,4,7,1,0,0,0,2,2,1,6,1,3,1,4,3,6,6,5,5,5,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,6,1,1,1,1,3,-10,0,0,0
6196,careful,strong,decisive,reluctant,6,6,0,4,7,1,0,0,0,3,5,1,3,5,3,1,3,1,5,4,2,4,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,1,1,3,-10,0,0,0
7418,Liar,Not trust worth,Unworthy,Impeach,2,2,0,3,4,1,0,0,0,3,5,0,3,2,1,1,4,3,6,6,3,2,5,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,1,1,3,0,1,0,0
2750,Not,Our,War,Fight,7,4,1,3,4,0,0,1,0,3,2,0,2,3,1,1,4,3,3,3,3,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,3,-6,1,1,0
437,cautious,wary,non-confrontational,determined,6,6,1,3,5,1,0,0,0,3,4,0,1,1,3,1,5,5,6,6,2,3,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,1,2,-10,0,0,0
6259,Tough,Outspoken,Involved,Understanding,7,7,0,2,3,1,0,0,0,3,3,1,1,1,1,1,5,5,3,6,2,2,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,1,3,-2,0,0,0
3462,Outrageous,Abuse,Power,Greedy,4,4,1,4,6,0,0,1,0,2,3,0,6,6,1,2,3,3,5,5,3,3,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,1,-2,0,0,0
3277,Female,President,Democrat,United States,2,2,0,1,1,1,0,0,0,2,3,0,6,3,3,4,4,4,6,6,2,4,3,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,1,3,-8,0,0,0
2355,weak,woman,lie,threatless,6,5,0,3,4,0,0,0,1,3,5,0,3,6,5,4,2,2,5,5,5,4,4,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,1,2,8,1,1,0
6448,H,98,98,98,4,NA,1,2,2,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,6,NA,NA,5,5,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,-2,0,0,0
3605,Female,Democrat,President,Military,7,4,1,2,3,1,0,0,0,2,2,0,3,3,2,1,6,6,1,6,5,3,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,1,1,3,0,0,0,0
1364,Understanding,Hesitatent,Committed,Options,3,2,0,4,7,1,0,0,0,3,5,1,6,2,6,5,4,1,5,5,5,5,5,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,1,3,-6,1,1,0
7069,Unclear,Nuanced,Deliberative,Pacifist,6,5,0,2,3,1,0,0,0,3,3,0,2,3,1,1,4,2,3,6,4,4,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,1,0,2,-8,0,0,0
7627,indecisive,profiteering,weak,unaccountable,7,6,0,2,2,1,0,0,0,3,3,1,1,1,1,1,4,2,3,6,1,2,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,-6,0,0,0
1756,wimp,scared,worthless,uniffective,1,5,0,3,5,1,0,0,0,3,5,0,3,5,5,5,2,1,3,2,5,4,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,1,1,1,3,-10,0,0,0
2848,STRONG,REPUBLICAN,EGOTISTICAL,POWERFUL FIGURE,3,6,1,1,2,0,0,1,0,2,2,0,4,4,2,4,2,3,4,3,3,3,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0,0,0
5696,Democrat,Party,Us,President,6,7,1,1,1,0,0,1,0,3,1,0,1,1,3,6,1,2,3,4,3,4,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,1,3,10,1,0,1
1083,determined,apprehensive,approvimg,faithful,4,4,1,4,6,1,0,0,0,4,1,1,4,4,3,3,5,6,6,5,3,3,3,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0
4196,Liar,Timid,Diplomatic,Untrustworthy,5,6,0,2,2,1,0,0,0,4,5,1,1,1,1,1,3,2,1,2,3,3,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,1,2,-4,0,0,0
5320,cautious,observant,afraid,nonmeddling,7,7,1,2,3,1,0,0,0,5,3,0,1,3,2,1,2,1,5,6,2,4,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,3,6,0,0,0
7576,Leader,Persistent,Compassion,Dependable,1,1,0,2,3,1,0,0,0,4,5,1,4,2,4,3,3,4,4,6,3,5,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,3,0,0,0,0
2325,Optimistic,Strong,Open,Care,6,NA,1,2,2,0,1,0,0,3,1,0,6,1,1,1,6,6,6,6,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,3,0,0,0,0
4561,Conflicted,Stuck,Exposed,Weak,7,6,0,2,3,1,0,0,0,5,5,1,1,2,1,1,2,2,5,5,2,4,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,3,-8,0,0,0
3628,Weak,fearful,WRONG,apeaser,3,5,0,4,7,1,0,0,0,2,3,0,6,3,5,3,4,4,5,5,3,4,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,1,0,1,-10,0,0,0
5680,wrong,waste,more dead,no good,2,5,0,3,4,0,0,0,1,3,1,0,3,2,3,3,2,6,6,6,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,1,1,0,2,-10,0,0,0
1218,brave,strong,insightful,smart,2,2,1,4,6,1,0,0,0,3,2,1,6,2,4,4,4,4,5,5,4,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,3,-6,0,0,0
6501,Fulfilling,Lucky,Active,Relatable,3,3,0,1,1,0,0,0,0,3,5,0,5,2,3,5,1,1,5,3,1,2,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,-4,0,0,0
